Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange,Chrome 67.0.3396.99,,2018-07-24 16:45:58,2018-07-24 16:46:43,45.807s,FAILED
,,,,,,
Test Cases/Login1/login,Chrome 67.0.3396.99,,2018-07-24 16:45:58,2018-07-24 16:46:30,31.852s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:45:58,2018-07-24 16:46:22,23.844s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:46:22,2018-07-24 16:46:27,4.787s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:46:27,2018-07-24 16:46:27,0.177s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:46:27,2018-07-24 16:46:27,0.093s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:46:27,2018-07-24 16:46:30,2.653s,PASSED
,,,,,,
Test Cases/ValidateLinks/validateLinks,Chrome 67.0.3396.99,,2018-07-24 16:46:30,2018-07-24 16:46:30,0.268s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:46:30,2018-07-24 16:46:30,0.031s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:46:30,2018-07-24 16:46:30,0.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:46:30,2018-07-24 16:46:30,0.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:46:30,2018-07-24 16:46:30,0.021s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:46:30,2018-07-24 16:46:30,0.020s,PASSED
,,,,,,
Test Cases/Role Change/change Role,Chrome 67.0.3396.99,,2018-07-24 16:46:30,2018-07-24 16:46:43,12.764s,FAILED
click,Chrome 67.0.3396.99,,2018-07-24 16:46:30,2018-07-24 16:46:32,1.461s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:46:32,2018-07-24 16:46:32,0.550s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:46:32,2018-07-24 16:46:34,1.484s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:46:34,2018-07-24 16:46:34,0.086s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 16:46:34,2018-07-24 16:46:35,1.194s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-24 16:46:35,2018-07-24 16:46:35,0.130s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:46:35,2018-07-24 16:46:36,1.291s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:46:36,2018-07-24 16:46:37,0.907s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:46:37,2018-07-24 16:46:38,0.935s,PASSED
verifyOptionSelectedByValue,Chrome 67.0.3396.99,,2018-07-24 16:46:38,2018-07-24 16:46:43,4.567s,FAILED
